epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,618.029,0.80665,3.87756,0.91077,1.34797,0,0.80062,0.58814,0.70187,0.49335,0.69438,0.40909,0.42494,0.14793,1.09064,3.90347,1.01709,1.70863,0,0.0008912,0.0008912,0.0008912
30,639.069,0.81043,3.93103,0.93743,1.36407,0,0.91706,0.55844,0.74478,0.50259,0.70062,0.35859,0.39878,0.13551,1.12744,3.8622,1.05349,1.75166,0,0.0008516,0.0008516,0.0008516
31,660.028,0.81746,3.79633,0.91936,1.35565,0,0.86948,0.56566,0.74498,0.50926,0.53611,0.34848,0.35851,0.12998,1.11143,3.85073,0.98152,1.73468,0,0.000812,0.000812,0.000812
32,679.431,0.82498,3.84443,0.95547,1.37264,0,0.90867,0.55272,0.72793,0.52318,0.76594,0.38889,0.40829,0.14763,1.04784,3.82244,0.92767,1.68395,0,0.0007724,0.0007724,0.0007724
33,701.538,0.80955,3.87597,0.93141,1.35478,0,0.90112,0.55556,0.70394,0.50029,0.63268,0.33333,0.34372,0.12659,1.03181,3.90355,1.01715,1.65529,0,0.0007328,0.0007328,0.0007328
34,722.972,0.79212,3.81047,0.91139,1.35002,0,0.90812,0.57071,0.75019,0.51436,0.79346,0.41414,0.44847,0.18051,1.12123,3.8215,0.94106,1.76035,0,0.0006932,0.0006932,0.0006932
35,736.358,0.80429,3.83761,0.88711,1.35679,0,0.8717,0.59091,0.72761,0.49611,0.70929,0.37374,0.37519,0.14604,1.0646,3.86653,0.9527,1.70987,0,0.0006536,0.0006536,0.0006536
36,749.626,0.78948,3.74576,0.88499,1.33406,0,0.84594,0.57576,0.6908,0.48248,0.67271,0.40909,0.4061,0.15302,1.05497,3.76753,0.98802,1.73339,0,0.000614,0.000614,0.000614
37,762.769,0.76794,3.76793,0.84726,1.3159,0,0.86968,0.57298,0.7264,0.50788,0.71159,0.36364,0.39857,0.14831,1.04268,3.75719,0.92074,1.68593,0,0.0005744,0.0005744,0.0005744
38,776.039,0.79147,3.78998,0.89087,1.34444,0,0.87307,0.59057,0.71361,0.51882,0.77017,0.40909,0.44235,0.16833,0.98021,3.71264,0.98502,1.61857,0,0.0005348,0.0005348,0.0005348
